Title,"Actor Name",Role,"Released Year","Age Certification",Runtime,Genre,"Production Countries","IMDB Score","Number of Votes"
"C/o Kancharapalem","Praveena Paruchuri",ACTOR,2018,PG,152,drama,IN,9,6562
"Chhota Bheem & Krishna in Mayanagari",Krishna,ACTOR,2011,G,66,animation,IN,9,5
"David Attenborough: A Life on Our Planet","Max Hughes",ACTOR,2020,PG,83,documentation,GB,9,31180
"C/o Kancharapalem","Kishore Kumar Polimera",ACTOR,2018,PG,152,drama,IN,9,6562
"C/o Kancharapalem","Karthik Rathnam",ACTOR,2018,PG,152,drama,IN,9,6562
"C/o Kancharapalem","Radha Bessy",ACTOR,2018,PG,152,drama,IN,9,6562
"C/o Kancharapalem","Praneeta Patnaik",ACTOR,2018,PG,152,drama,IN,9,6562
"C/o Kancharapalem","Nithya Sree",ACTOR,2018,PG,152,drama,IN,9,6562
"C/o Kancharapalem","Kesava Karri",ACTOR,2018,PG,152,drama,IN,9,6562
"No Longer Kids","Nadia Shukry",ACTOR,1979,NULL,235,comedy,EG,9,943
Inception,"Claire Geare",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","Michael Conner Humphreys",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Matt Rebenkoff",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Joe Washington",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Marlena Smalls",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
Inception,"Johnathan Geare",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Ryan Hayward",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Coralie Dedykere",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Nicolas Clerc",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Jean-Michel Dagory",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Felix Scott",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","Steve DeRelian",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Michael Oliver",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
Inception,"Adam Cole",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","W. Benson Terry",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
Inception,"Silvie Laguna",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Tai-Li Lee",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Magnus Nolan",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Helena Cullinan",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","George Kelly",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Sonny Shroyer",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Troy Christian",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
Inception,"Carl Gilliard",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Earl Cameron",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Taylor Geare",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","Jim Hanks",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Emily Carey",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
Inception,"Jill Maddrell",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","Jeffrey Winner",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
Inception,"Nicole Pulliam",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","Kitty K. Green",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
Inception,"Marc Raducci",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Dileep Rao",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Pete Postlethwaite",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
Inception,"Shannon Welles",ACTOR,2010,PG-13,148,scifi,"GB, US",8.8,2268288
"Forrest Gump","Peter Dobson",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Bob Penny",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Margo Moorer",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Christopher Jones",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Kevin Mangan",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Daniel C. Striepeke",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","Kirk Ward",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
"Forrest Gump","David Brisbin",ACTOR,1994,PG-13,142,drama,US,8.8,1994599
