Title,"Actor Name",Role,"Released Year","Age Certification",Runtime,Genre,"Production Countries","Seasons Broadcasted","IMDB Score","Number of Votes"
"Breaking Bad","Anna Gunn",ACTOR,2008,TV-MA,48,drama,US,5,9.5,1727694
"Breaking Bad","Betsy Brandt",ACTOR,2008,TV-MA,48,drama,US,5,9.5,1727694
"Avatar: The Last Airbender","Jessie Flower",ACTOR,2005,TV-Y7,24,scifi,US,3,9.3,297336
"Avatar: The Last Airbender","Zach Tyler",ACTOR,2005,TV-Y7,24,scifi,US,3,9.3,297336
"Avatar: The Last Airbender","Cricket Leigh",ACTOR,2005,TV-Y7,24,scifi,US,3,9.3,297336
"Who Rules The World","Zhang Feng Yi",ACTOR,2022,TV-PG,44,drama,CN,1,9.2,81
"Reply 1988","Kim Seol",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"My Mister","Lee Ji-ah",ACTOR,2018,TV-14,79,drama,KR,1,9.2,5481
"Reply 1988","Lee Hye-ri",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"Reply 1988","Lee Se-young",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"Reply 1988","Ryu Jun-yeol",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"Who Rules The World","He Kailang",ACTOR,2022,TV-PG,44,drama,CN,1,9.2,81
"My Mister","Son Sook",ACTOR,2018,TV-14,79,drama,KR,1,9.2,5481
"The Last Dance","Michael Jordan",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"The Last Dance","Phil Jackson",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"The Last Dance","Steve Kerr",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"The Last Dance","Scottie Pippen",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"Raja, Rasoi Aur Anya Kahaniyaan","Manwendra Tripathy",ACTOR,2014,NULL,29,history,IN,3,9,327
"Raja, Rasoi Aur Anya Kahaniyaan","Dr Pushpesh Pant",ACTOR,2014,NULL,29,history,IN,3,9,327
"Leah Remini: Scientology and the Aftermath","Mike Rinder",ACTOR,2016,TV-14,46,documentation,US,3,9,5761
Okupas,"Ariel Staltari",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Diego Alonso",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Franco Tirri",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
"Hunter x Hunter","Chisa Yokoyama",ACTOR,2011,TV-14,23,drama,JP,3,9,87857
Okupas,"Jorge Sesán",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Dante Mastropierro",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Augusto Brítez",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
"Still Game","Sanjeev Kohli",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"Still Game","Mark Cox",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
Seinfeld,"Julia Louis-Dreyfus",ACTOR,1989,TV-PG,24,comedy,US,9,8.9,302700
"Still Game","Greg Hemphill",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
Heartstopper,"Yasmin Finney",ACTOR,2022,TV-14,28,drama,GB,1,8.9,28978
Heartstopper,"William Gao",ACTOR,2022,TV-14,28,drama,GB,1,8.9,28978
Heartstopper,"Joe Locke",ACTOR,2022,TV-14,28,drama,GB,1,8.9,28978
"When They See Us","Kylie Bunbury",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
Seinfeld,"Michael Richards",ACTOR,1989,TV-PG,24,comedy,US,9,8.9,302700
"Still Game","Jane McCarry",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"Still Game","Paul Riley",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"When They See Us","Caleel Harris",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
"Still Game","Ford Kiernan",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"Cowboy Bebop","Aoi Tada",ACTOR,1998,TV-14,25,western,JP,1,8.9,112887
"When They See Us","Asante Blackk",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
"When They See Us","Ethan Herisse",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
"The Untamed","Lu Enjie",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"Better Call Saul","Michael Mando",ACTOR,2015,TV-MA,49,comedy,US,6,8.8,404920
"The Untamed","Lu Jianmin",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Xiao Zhan",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Meng Ziyi",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
Navillera,"Kim Kwon",ACTOR,2021,NULL,64,drama,KR,1,8.8,2024
Narcos,"Matias Varela",ACTOR,2015,TV-MA,52,drama,US,3,8.8,404486
"Hospital Playlist","Ahn Eun-jin",ACTOR,2020,TV-14,90,comedy,KR,2,8.8,4836
"The Untamed","Liu Haikuan",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Song Jiyang",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Wang Zhuocheng",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Zhu Zanjin",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
